# RandomSeed is not predefined. Generated seed value:  1746308911952093473
# variable_neighborhood_search started at: 2024-01-15 09:39:45.871109
# Execution parameters: {'algorithm': 'variable_neighborhood_search', 'writeToOutputFile': True, 'outputFilePath': 'opt/single_objective/comb/ones_count_max_problem/outputs/dimension_10.csv', 'outputFileNameAppendTimeStamp': True, 'outputFields': 'iteration, evaluation, best_solution.argument()', 'outputMoments': 'after_algorithm, after_iteration', 'inputFilePath': 'opt/single_objective/comb/ones_count_max_problem/inputs/dimension_10.txt', 'inputFormat': 'txt', 'finishCriteria': 'evaluations & seconds', 'finishEvaluationsMax': 3000, 'finishIterationsMax': 0, 'finishSecondsMax': 0, 'randomSeed': 0, 'solutionEvaluationCacheIsUsed': True, 'solutionEvaluationCacheMaxSize': 100000, 'solutionDistanceCalculationCacheIsUsed': True, 'solutionDistanceCalculationCacheMaxSize': 300000, 'additionalStatisticsIsActive': True, 'additionalStatisticsKeep': 'none', 'additionalStatisticsMaxLocalOptimaCount': 5, 'kMin': 1, 'kMax': 3, 'localSearchType': 'localSearchBestImprovement', 'solutionType': 'BitArray', 'log': 'warning'}
iteration	evaluation	step_name	best_solution_string_representation	best_solution_fitness_value	best_solution_objective_value	best_solution_is_feasible	best_solution_argument	
272	1420	a_i	1111111111	10	10	True	XXX	
273	1421	a_i	1111111111	10	10	True	XXX	
274	1422	a_i	1111111111	10	10	True	XXX	
275	1423	a_i	1111111111	10	10	True	XXX	
276	1424	a_i	1111111111	10	10	True	XXX	
277	1425	a_i	1111111111	10	10	True	XXX	
278	1426	a_i	1111111111	10	10	True	XXX	
279	1427	a_i	1111111111	10	10	True	XXX	
280	1428	a_i	1111111111	10	10	True	XXX	
281	1429	a_i	1111111111	10	10	True	XXX	
282	1430	a_i	1111111111	10	10	True	XXX	
283	1431	a_i	1111111111	10	10	True	XXX	
284	1432	a_i	1111111111	10	10	True	XXX	
285	1433	a_i	1111111111	10	10	True	XXX	
286	1434	a_i	1111111111	10	10	True	XXX	
287	1435	a_i	1111111111	10	10	True	XXX	
288	1436	a_i	1111111111	10	10	True	XXX	
289	1437	a_i	1111111111	10	10	True	XXX	
290	1438	a_i	1111111111	10	10	True	XXX	
291	1439	a_i	1111111111	10	10	True	XXX	
292	1440	a_i	1111111111	10	10	True	XXX	
293	1441	a_i	1111111111	10	10	True	XXX	
294	1442	a_i	1111111111	10	10	True	XXX	
295	1443	a_i	1111111111	10	10	True	XXX	
296	1444	a_i	1111111111	10	10	True	XXX	
297	1445	a_i	1111111111	10	10	True	XXX	
298	1446	a_i	1111111111	10	10	True	XXX	
299	1447	a_i	1111111111	10	10	True	XXX	
300	1448	a_i	1111111111	10	10	True	XXX	
301	1449	a_i	1111111111	10	10	True	XXX	
302	1450	a_i	1111111111	10	10	True	XXX	
303	1451	a_i	1111111111	10	10	True	XXX	
304	1452	a_i	1111111111	10	10	True	XXX	
305	1453	a_i	1111111111	10	10	True	XXX	
306	1454	a_i	1111111111	10	10	True	XXX	
307	1455	a_i	1111111111	10	10	True	XXX	
308	1456	a_i	1111111111	10	10	True	XXX	
309	1457	a_i	1111111111	10	10	True	XXX	
310	1458	a_i	1111111111	10	10	True	XXX	
311	1459	a_i	1111111111	10	10	True	XXX	
312	1460	a_i	1111111111	10	10	True	XXX	
313	1461	a_i	1111111111	10	10	True	XXX	
314	1462	a_i	1111111111	10	10	True	XXX	
315	1463	a_i	1111111111	10	10	True	XXX	
316	1464	a_i	1111111111	10	10	True	XXX	
317	1465	a_i	1111111111	10	10	True	XXX	
318	1466	a_i	1111111111	10	10	True	XXX	
319	1467	a_i	1111111111	10	10	True	XXX	
320	1468	a_i	1111111111	10	10	True	XXX	
321	1469	a_i	1111111111	10	10	True	XXX	
322	1470	a_i	1111111111	10	10	True	XXX	
323	1471	a_i	1111111111	10	10	True	XXX	
324	1472	a_i	1111111111	10	10	True	XXX	
325	1473	a_i	1111111111	10	10	True	XXX	
326	1474	a_i	1111111111	10	10	True	XXX	
327	1475	a_i	1111111111	10	10	True	XXX	
328	1476	a_i	1111111111	10	10	True	XXX	
329	1477	a_i	1111111111	10	10	True	XXX	
330	1478	a_i	1111111111	10	10	True	XXX	
331	1479	a_i	1111111111	10	10	True	XXX	
332	1480	a_i	1111111111	10	10	True	XXX	
333	1481	a_i	1111111111	10	10	True	XXX	
334	1482	a_i	1111111111	10	10	True	XXX	
335	1483	a_i	1111111111	10	10	True	XXX	
336	1484	a_i	1111111111	10	10	True	XXX	
337	1485	a_i	1111111111	10	10	True	XXX	
338	1486	a_i	1111111111	10	10	True	XXX	
339	1487	a_i	1111111111	10	10	True	XXX	
340	1488	a_i	1111111111	10	10	True	XXX	
341	1489	a_i	1111111111	10	10	True	XXX	
342	1490	a_i	1111111111	10	10	True	XXX	
343	1491	a_i	1111111111	10	10	True	XXX	
344	1492	a_i	1111111111	10	10	True	XXX	
345	1493	a_i	1111111111	10	10	True	XXX	
346	1494	a_i	1111111111	10	10	True	XXX	
347	1495	a_i	1111111111	10	10	True	XXX	
348	1496	a_i	1111111111	10	10	True	XXX	
349	1497	a_i	1111111111	10	10	True	XXX	
350	1498	a_i	1111111111	10	10	True	XXX	
351	1499	a_i	1111111111	10	10	True	XXX	
352	1500	a_i	1111111111	10	10	True	XXX	
353	1501	a_i	1111111111	10	10	True	XXX	
354	1502	a_i	1111111111	10	10	True	XXX	
355	1503	a_i	1111111111	10	10	True	XXX	
356	1504	a_i	1111111111	10	10	True	XXX	
357	1505	a_i	1111111111	10	10	True	XXX	
358	1506	a_i	1111111111	10	10	True	XXX	
359	1507	a_i	1111111111	10	10	True	XXX	
360	1508	a_i	1111111111	10	10	True	XXX	
361	1509	a_i	1111111111	10	10	True	XXX	
362	1510	a_i	1111111111	10	10	True	XXX	
363	1511	a_i	1111111111	10	10	True	XXX	
364	1512	a_i	1111111111	10	10	True	XXX	
365	1513	a_i	1111111111	10	10	True	XXX	
366	1514	a_i	1111111111	10	10	True	XXX	
367	1515	a_i	1111111111	10	10	True	XXX	
368	1516	a_i	1111111111	10	10	True	XXX	
369	1517	a_i	1111111111	10	10	True	XXX	
370	1518	a_i	1111111111	10	10	True	XXX	
371	1519	a_i	1111111111	10	10	True	XXX	
372	1520	a_i	1111111111	10	10	True	XXX	
373	1521	a_i	1111111111	10	10	True	XXX	
374	1522	a_i	1111111111	10	10	True	XXX	
375	1523	a_i	1111111111	10	10	True	XXX	
376	1524	a_i	1111111111	10	10	True	XXX	
377	1525	a_i	1111111111	10	10	True	XXX	
378	1526	a_i	1111111111	10	10	True	XXX	
379	1527	a_i	1111111111	10	10	True	XXX	
380	1528	a_i	1111111111	10	10	True	XXX	
381	1529	a_i	1111111111	10	10	True	XXX	
382	1530	a_i	1111111111	10	10	True	XXX	
383	1531	a_i	1111111111	10	10	True	XXX	
384	1532	a_i	1111111111	10	10	True	XXX	
